id,Country,Slug,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered
0,,,0,0,0,0,0,0
1, Azerbaijan,-azerbaijan,0,0,0,0,0,0
2,Afghanistan,afghanistan,10,94,2,4,0,2
3,Albania,albania,28,174,1,6,0,17
4,Algeria,algeria,65,367,4,25,-36,29
5,Andorra,andorra,36,224,2,3,0,1
6,Angola,angola,1,4,0,0,0,0
7,Antigua and Barbuda,antigua-and-barbuda,4,7,0,0,0,0
8,Argentina,argentina,115,502,1,9,11,63
9,Armenia,armenia,25,290,1,1,2,18
10,Aruba,aruba,0,4,0,0,0,0
11,Australia,australia,446,2810,5,13,53,172
12,Austria,austria,1321,6909,19,49,103,112
13,Azerbaijan,azerbaijan,29,122,1,3,5,15
14,Bahamas,bahamas,4,9,0,0,0,1
15,"Bahamas, The",bahamas-the,0,4,0,0,0,0
16,Bahrain,bahrain,39,458,0,4,27,204
17,Bangladesh,bangladesh,5,44,0,5,4,11
18,Barbados,barbados,0,18,0,0,0,0
19,Belarus,belarus,0,86,0,0,0,29
20,Belgium,belgium,1298,6235,42,220,128,675
21,Belize,belize,0,2,0,0,0,0
22,Benin,benin,0,6,0,0,0,0
23,Bhutan,bhutan,0,2,0,0,0,0
24,Bolivia,bolivia,11,43,0,0,0,0
25,Bosnia and Herzegovina,bosnia-and-herzegovina,15,191,0,3,0,2
26,Brazil,brazil,431,2985,18,77,4,6
27,Brunei,brunei,5,114,0,0,3,5
28,Bulgaria,bulgaria,22,264,0,3,4,8
29,Burkina Faso,burkina-faso,6,152,3,7,0,10
30,Cabo Verde,cabo-verde,0,4,0,1,0,0
31,Cambodia,cambodia,0,96,0,0,0,10
32,Cameroon,cameroon,0,75,0,1,0,2
33,Canada,canada,791,4042,8,38,1,184
34,Cape Verde,cape-verde,0,0,0,0,0,0
35,Cayman Islands,cayman-islands,0,1,0,0,0,0
36,Central African Republic,central-african-republic,0,3,0,0,0,0
37,Chad,chad,0,3,0,0,0,0
38,Channel Islands,channel-islands,0,0,0,0,0,0
39,Chile,chile,164,1306,1,4,0,22
40,China,china,121,81782,6,3291,408,74181
41,Colombia,colombia,21,491,2,6,0,8
42,Congo (Brazzaville),congo-(brazzaville),0,4,0,0,0,0
43,Congo (Kinshasa),congo-(kinshasa),3,51,1,3,0,0
44,Costa Rica,costa-rica,30,231,0,2,0,2
45,Cote d'Ivoire,cote-divoire,16,96,0,0,0,3
46,Croatia,croatia,53,495,2,3,0,22
47,Cruise Ship,cruise-ship,0,712,0,8,242,567
48,Cuba,cuba,10,67,1,2,0,1
49,Curacao,curacao,0,0,0,0,0,0
50,Cyprus,cyprus,14,146,0,3,1,4
51,Czechia,czechia,271,1925,3,9,0,10
52,Denmark,denmark,161,2023,7,41,9,50
53,Diamond Princess,diamond-princess,0,0,0,0,0,0
54,Djibouti,djibouti,0,11,0,0,0,0
55,Dominica,dominica,4,11,0,0,0,0
56,Dominican Republic,dominican-republic,96,488,0,10,0,3
57,East Timor,east-timor,0,0,0,0,0,0
58,Ecuador,ecuador,230,1403,6,34,0,3
59,Egypt,egypt,39,495,3,24,7,102
60,El Salvador,el-salvador,4,13,0,0,0,0
61,Equatorial Guinea,equatorial-guinea,3,12,0,0,0,0
62,Eritrea,eritrea,2,6,0,0,0,0
63,Estonia,estonia,134,538,0,1,0,8
64,Eswatini,eswatini,2,6,0,0,0,0
65,Ethiopia,ethiopia,0,12,0,0,0,0
66,Faroe Islands,faroe-islands,0,2,0,0,0,0
67,Fiji,fiji,0,5,0,0,0,0
68,Finland,finland,78,958,2,5,0,10
69,France,france,3951,29551,365,1698,1048,4955
70,French Guiana,french-guiana,0,18,0,0,0,6
71,Gabon,gabon,1,7,0,1,0,0
72,Gambia,gambia,0,3,0,1,0,0
73,"Gambia, The",gambia-the,0,1,0,0,0,0
74,Georgia,georgia,4,79,0,0,1,11
75,Germany,germany,6615,43938,61,267,2126,5673
76,Ghana,ghana,39,132,0,4,1,1
77,Gibraltar,gibraltar,0,1,0,0,1,1
78,Greece,greece,71,892,4,26,0,36
79,Greenland,greenland,0,0,0,0,0,0
80,Grenada,grenada,6,7,0,0,0,0
81,Guadeloupe,guadeloupe,3,56,0,0,0,0
82,Guam,guam,0,0,1,1,0,0
83,Guatemala,guatemala,1,25,0,1,0,4
84,Guernsey,guernsey,0,0,0,0,0,0
85,Guinea,guinea,0,4,0,0,0,0
86,Guinea-Bissau,guinea-bissau,0,0,0,0,0,0
87,Guyana,guyana,0,5,0,1,0,0
88,Haiti,haiti,0,8,0,0,0,0
89,Holy See,holy-see,0,4,0,0,0,0
90,Honduras,honduras,16,52,1,1,0,0
