id,datetime,open,high,low,close,volume
0,2020-03-27,21898.47070,22327.57031,21472.33984,21612.61914,354169567
1,2020-03-26,21619.48047,22595.06055,21490.67969,22535.64062,403068931
2,2020-03-25,20860.40039,22019.92969,20538.33984,21196.33984,454357332
3,2020-03-24,19722.18945,20737.69922,19649.25000,20697.49023,478596192
4,2020-03-23,18857.55078,19121.00977,18215.64062,18575.59961,467935905
5,2020-03-20,20253.15039,20530.53906,19094.26953,19160.09961,466326325
6,2020-03-19,19776.34961,20442.63086,19177.13086,20101.64062,333527987
7,2020-03-18,19964.66016,20489.33008,18917.46094,19954.66992,264527250
8,2020-03-17,20532.18945,21379.34961,19882.25977,21232.99023,272066757
9,2020-03-16,20917.52930,21768.27930,20116.46094,20187.05078,264737665
10,2020-03-12,22184.71094,22184.71094,21297.88086,21424.64062,357535782
11,2020-03-11,24493.05078,24493.05078,23331.41992,23552.65039,403062763
12,2020-03-10,24453.00000,25019.15039,23690.33984,25016.67969,411415040
13,2020-03-09,24992.35938,24992.35938,23706.07031,23843.89062,475233188
14,2020-03-06,25457.21094,25994.38086,25226.61914,25863.81055,353443860
15,2020-03-05,26671.91992,26671.91992,25943.33008,26126.15039,273426975
16,2020-03-04,26495.02930,27102.33984,26286.31055,27087.66992,285109565
17,2020-03-03,26758.18945,27084.58984,25706.27930,25905.74023,446745139
18,2020-03-02,25590.50977,26706.16992,25391.96094,26703.32031,637200000
19,2020-02-28,25270.83008,25494.24023,24681.00977,25409.35938,915990000
20,2020-02-27,26526.00000,26775.31055,25752.82031,25766.64062,664980000
21,2020-02-26,27159.46094,27542.77930,26890.97070,26957.58984,472450000
22,2020-02-25,28037.65039,28149.19922,26997.61914,27081.35938,513270000
23,2020-02-24,28402.92969,28402.92969,27912.43945,27960.80078,452580000
24,2020-02-21,29146.52930,29146.52930,28892.69922,28992.41016,311210000
25,2020-02-20,29296.25000,29368.44922,28959.65039,29219.98047,287780000
26,2020-02-19,29312.69922,29409.08984,29274.38086,29348.02930,240640000
27,2020-02-18,29282.77930,29330.16016,29116.81055,29232.18945,256600000
28,2020-02-14,29440.47070,29463.03906,29283.17969,29398.08008,231000000
29,2020-02-13,29436.02930,29535.40039,29345.92969,29423.31055,291150000
30,2020-02-12,29406.75000,29568.57031,29406.75000,29551.41992,309530000
31,2020-02-11,29390.71094,29415.39062,29210.47070,29276.33984,279540000
32,2020-02-10,28995.66016,29278.07031,28995.66016,29276.82031,250510000
33,2020-02-07,29286.91992,29286.91992,29056.98047,29102.50977,252860000
34,2020-02-06,29388.58008,29408.05078,29246.92969,29379.76953,263700000
35,2020-02-05,29048.73047,29308.89062,29000.84961,29290.84961,357540000
36,2020-02-04,28696.74023,28904.88086,28696.74023,28807.63086,332750000
37,2020-02-03,28319.65039,28630.39062,28319.65039,28399.81055,307910000
38,2020-01-31,28813.03906,28813.03906,28169.52930,28256.02930,403890000
39,2020-01-30,28640.16016,28879.71094,28489.75977,28859.43945,326850000
40,2020-01-29,28820.52930,28944.24023,28728.18945,28734.44922,302290000
41,2020-01-28,28594.27930,28823.23047,28575.75000,28722.84961,330140000
42,2020-01-27,28542.49023,28671.78906,28440.47070,28535.80078,337270000
43,2020-01-24,29230.39062,29288.78906,28843.31055,28989.73047,380010000
44,2020-01-23,29111.01953,29190.47070,28966.98047,29160.08984,307060000
45,2020-01-22,29263.63086,29320.19922,29172.25977,29186.26953,283440000
46,2020-01-21,29269.05078,29341.21094,29146.47070,29196.03906,320640000
47,2020-01-17,29313.31055,29373.61914,29289.91016,29348.09961,321820000
48,2020-01-16,29131.94922,29300.32031,29131.94922,29297.64062,252110000
49,2020-01-15,28901.80078,29127.58984,28897.34961,29030.22070,260270000
50,2020-01-14,28895.50000,29054.16016,28872.26953,28939.66992,287440000
51,2020-01-13,28869.00977,28909.91016,28819.42969,28907.05078,249830000
52,2020-01-10,28977.51953,29009.07031,28789.09961,28823.76953,237830000
53,2020-01-09,28851.97070,28988.00977,28844.31055,28956.90039,275060000
54,2020-01-08,28556.14062,28866.17969,28522.50977,28745.08984,291750000
55,2020-01-07,28639.17969,28685.50000,28565.27930,28583.67969,258900000
56,2020-01-06,28465.50000,28708.01953,28418.63086,28703.38086,252760000
57,2020-01-03,28553.33008,28716.31055,28500.35938,28634.88086,239590000
58,2020-01-02,28638.97070,28872.80078,28627.76953,28868.80078,251820000
