id,Country,Province,Lat,Lon,Date,Cases,Status
0,China,,0,0,2020-01-22T00:00:00Z,548,confirmed
1,China,,0,0,2020-01-23T00:00:00Z,643,confirmed
2,China,,0,0,2020-01-24T00:00:00Z,920,confirmed
3,China,,0,0,2020-01-25T00:00:00Z,1406,confirmed
4,China,,0,0,2020-01-26T00:00:00Z,2075,confirmed
5,China,,0,0,2020-01-27T00:00:00Z,2877,confirmed
6,China,,0,0,2020-01-28T00:00:00Z,5509,confirmed
7,China,,0,0,2020-01-29T00:00:00Z,6087,confirmed
8,China,,0,0,2020-01-30T00:00:00Z,8141,confirmed
9,China,,0,0,2020-01-31T00:00:00Z,9802,confirmed
10,China,,0,0,2020-02-01T00:00:00Z,11891,confirmed
11,China,,0,0,2020-02-02T00:00:00Z,16630,confirmed
12,China,,0,0,2020-02-03T00:00:00Z,19716,confirmed
13,China,,0,0,2020-02-04T00:00:00Z,23707,confirmed
14,China,,0,0,2020-02-05T00:00:00Z,27440,confirmed
15,China,,0,0,2020-02-06T00:00:00Z,30587,confirmed
16,China,,0,0,2020-02-07T00:00:00Z,34110,confirmed
17,China,,0,0,2020-02-08T00:00:00Z,36814,confirmed
18,China,,0,0,2020-02-09T00:00:00Z,39829,confirmed
19,China,,0,0,2020-02-10T00:00:00Z,42354,confirmed
20,China,,0,0,2020-02-11T00:00:00Z,44386,confirmed
21,China,,0,0,2020-02-12T00:00:00Z,44759,confirmed
22,China,,0,0,2020-02-13T00:00:00Z,59895,confirmed
23,China,,0,0,2020-02-14T00:00:00Z,66358,confirmed
24,China,,0,0,2020-02-15T00:00:00Z,68413,confirmed
25,China,,0,0,2020-02-16T00:00:00Z,70513,confirmed
26,China,,0,0,2020-02-17T00:00:00Z,72434,confirmed
27,China,,0,0,2020-02-18T00:00:00Z,74211,confirmed
28,China,,0,0,2020-02-19T00:00:00Z,74619,confirmed
29,China,,0,0,2020-02-20T00:00:00Z,75077,confirmed
30,China,,0,0,2020-02-21T00:00:00Z,75550,confirmed
31,China,,0,0,2020-02-22T00:00:00Z,77001,confirmed
32,China,,0,0,2020-02-23T00:00:00Z,77022,confirmed
33,China,,0,0,2020-02-24T00:00:00Z,77241,confirmed
34,China,,0,0,2020-02-25T00:00:00Z,77754,confirmed
35,China,,0,0,2020-02-26T00:00:00Z,78166,confirmed
36,China,,0,0,2020-02-27T00:00:00Z,78600,confirmed
37,China,,0,0,2020-02-28T00:00:00Z,78928,confirmed
38,China,,0,0,2020-02-29T00:00:00Z,79356,confirmed
39,China,,0,0,2020-03-01T00:00:00Z,79932,confirmed
40,China,,0,0,2020-03-02T00:00:00Z,80136,confirmed
41,China,,0,0,2020-03-03T00:00:00Z,80261,confirmed
42,China,,0,0,2020-03-04T00:00:00Z,80386,confirmed
43,China,,0,0,2020-03-05T00:00:00Z,80537,confirmed
44,China,,0,0,2020-03-06T00:00:00Z,80690,confirmed
45,China,,0,0,2020-03-07T00:00:00Z,80770,confirmed
46,China,,0,0,2020-03-08T00:00:00Z,80823,confirmed
47,China,,0,0,2020-03-09T00:00:00Z,80860,confirmed
48,China,,0,0,2020-03-10T00:00:00Z,80887,confirmed
49,China,,0,0,2020-03-11T00:00:00Z,80921,confirmed
50,China,,0,0,2020-03-12T00:00:00Z,80932,confirmed
51,China,,0,0,2020-03-13T00:00:00Z,80945,confirmed
52,China,,0,0,2020-03-14T00:00:00Z,80977,confirmed
53,China,,0,0,2020-03-15T00:00:00Z,81003,confirmed
54,China,,0,0,2020-03-16T00:00:00Z,81033,confirmed
55,China,,0,0,2020-03-17T00:00:00Z,81058,confirmed
56,China,,0,0,2020-03-18T00:00:00Z,81102,confirmed
57,China,,0,0,2020-03-19T00:00:00Z,81156,confirmed
58,China,,0,0,2020-03-20T00:00:00Z,81250,confirmed
59,China,,0,0,2020-03-21T00:00:00Z,81305,confirmed
60,China,,0,0,2020-03-22T00:00:00Z,81533,confirmed
61,China,,0,0,2020-03-23T00:00:00Z,81496,confirmed
62,China,,0,0,2020-03-24T00:00:00Z,81591,confirmed
63,China,,0,0,2020-03-25T00:00:00Z,81661,confirmed
64,China,,0,0,2020-03-26T00:00:00Z,81782,confirmed
65,China,,0,0,2020-03-27T00:00:00Z,81897,confirmed
66,China,,0,0,2020-03-28T00:00:00Z,81999,confirmed
67,China,,0,0,2020-03-29T00:00:00Z,82122,confirmed
68,China,,0,0,2020-03-30T00:00:00Z,82198,confirmed
69,China,,0,0,2020-03-31T00:00:00Z,82279,confirmed
70,China,,0,0,2020-04-01T00:00:00Z,82381,confirmed
71,China,,0,0,2020-04-02T00:00:00Z,82432,confirmed
