id,Country,Slug,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered
0,,,0,0,0,0,0,0
1, Azerbaijan,-azerbaijan,0,0,0,0,0,0
2,Afghanistan,afghanistan,50,170,0,4,0,2
3,Albania,albania,11,223,1,11,11,44
4,Algeria,algeria,73,584,4,35,6,37
5,Andorra,andorra,36,370,2,8,9,10
6,Angola,angola,0,7,0,2,0,0
7,Antigua and Barbuda,antigua-and-barbuda,0,7,0,0,0,0
8,Argentina,argentina,75,820,4,23,156,228
9,Armenia,armenia,58,482,0,3,0,30
10,Aruba,aruba,0,4,0,0,0,0
11,Australia,australia,377,4361,1,17,13,257
12,Austria,austria,830,9618,22,108,157,636
13,Azerbaijan,azerbaijan,64,273,0,4,11,26
14,Bahamas,bahamas,3,14,0,0,0,1
15,"Bahamas, The",bahamas-the,0,4,0,0,0,0
16,Bahrain,bahrain,16,515,0,4,7,279
17,Bangladesh,bangladesh,1,49,0,5,4,19
18,Barbados,barbados,0,33,0,0,0,0
19,Belarus,belarus,58,152,0,0,0,32
20,Belgium,belgium,1063,11899,82,513,168,1527
21,Belize,belize,1,3,0,0,0,0
22,Benin,benin,0,6,0,0,0,0
23,Bhutan,bhutan,0,4,0,0,0,0
24,Bolivia,bolivia,16,97,3,4,0,0
25,Bosnia and Herzegovina,bosnia-and-herzegovina,45,368,4,10,9,17
26,Botswana,botswana,0,0,0,0,0,0
27,Brazil,brazil,323,4579,23,159,114,120
28,Brunei,brunei,1,127,0,1,4,38
29,Bulgaria,bulgaria,13,359,0,8,3,17
30,Burkina Faso,burkina-faso,24,246,0,12,8,31
31,Burma,burma,4,14,0,0,0,0
32,Cabo Verde,cabo-verde,0,6,0,1,0,0
33,Cambodia,cambodia,4,107,0,0,0,21
34,Cameroon,cameroon,0,139,0,6,0,5
35,Canada,canada,1118,7398,16,80,0,466
36,Cape Verde,cape-verde,0,0,0,0,0,0
37,Cayman Islands,cayman-islands,0,1,0,0,0,0
38,Central African Republic,central-african-republic,0,3,0,0,0,0
39,Chad,chad,2,5,0,0,0,0
40,Channel Islands,channel-islands,0,0,0,0,0,0
41,Chile,chile,310,2449,1,8,81,156
42,China,china,76,82198,4,3308,341,75923
43,Colombia,colombia,96,798,2,12,5,15
44,Congo (Brazzaville),congo-(brazzaville),0,19,0,0,0,0
45,Congo (Kinshasa),congo-(kinshasa),16,81,2,8,0,2
46,Costa Rica,costa-rica,16,330,0,2,1,4
47,Cote d'Ivoire,cote-divoire,3,168,0,1,2,6
48,Croatia,croatia,77,790,0,6,15,67
49,Cruise Ship,cruise-ship,0,712,0,8,242,567
50,Cuba,cuba,31,170,1,4,0,4
51,Curacao,curacao,0,0,0,0,0,0
52,Cyprus,cyprus,16,230,2,7,7,22
53,Czechia,czechia,184,3001,7,23,14,25
54,Denmark,denmark,191,2755,5,77,0,73
55,Diamond Princess,diamond-princess,0,712,0,10,0,603
56,Djibouti,djibouti,0,18,0,0,0,0
57,Dominica,dominica,0,11,0,0,0,0
58,Dominican Republic,dominican-republic,42,901,3,42,1,4
59,East Timor,east-timor,0,0,0,0,0,0
60,Ecuador,ecuador,38,1962,2,60,0,3
61,Egypt,egypt,47,656,1,41,18,150
62,El Salvador,el-salvador,6,30,0,0,0,0
63,Equatorial Guinea,equatorial-guinea,0,12,0,0,0,0
64,Eritrea,eritrea,0,12,0,0,0,0
65,Estonia,estonia,36,715,0,3,0,20
66,Eswatini,eswatini,0,9,0,0,0,0
67,Ethiopia,ethiopia,2,23,0,0,3,4
68,Faroe Islands,faroe-islands,0,2,0,0,0,0
69,Fiji,fiji,0,5,0,0,0,0
70,Finland,finland,112,1352,2,13,0,10
71,France,france,4462,45170,419,3030,738,7964
72,French Guiana,french-guiana,0,18,0,0,0,6
73,Gabon,gabon,0,7,0,1,0,0
74,Gambia,gambia,0,4,0,1,0,0
75,"Gambia, The",gambia-the,0,1,0,0,0,0
76,Georgia,georgia,12,103,0,0,2,20
77,Germany,germany,4790,66885,112,645,4289,13500
78,Ghana,ghana,0,152,0,5,0,2
79,Gibraltar,gibraltar,0,1,0,0,1,1
80,Greece,greece,56,1212,5,43,0,52
81,Greenland,greenland,0,0,0,0,0,0
82,Grenada,grenada,0,9,0,0,0,0
83,Guadeloupe,guadeloupe,3,56,0,0,0,0
84,Guam,guam,0,0,1,1,0,0
85,Guatemala,guatemala,2,36,0,1,0,10
86,Guernsey,guernsey,0,0,0,0,0,0
87,Guinea,guinea,6,22,0,0,0,0
88,Guinea-Bissau,guinea-bissau,6,8,0,0,0,0
89,Guyana,guyana,0,8,0,1,0,0
90,Haiti,haiti,0,15,0,0,0,1
