datetime,open,high,low,close,volume,name,
"Friday, April 3, 2020",21277.83984,21447.81055,20863.08984,21054.61914,277424168,DJI,
"Thursday, April 2, 2020",20819.46094,21477.76953,20735.01953,21406.92969,320379192,DJI,
"Wednesday, April 1, 2020",21044.76953,21487.24023,20784.42969,20956.18945,297331882,DJI,
"Tuesday, March 31, 2020",22208.41992,22480.36914,21852.08008,21927.91016,285960369,DJI,
"Monday, March 30, 2020",21824.17969,22378.08984,21522.08008,22322.91016,299583961,DJI,
"Friday, March 27, 2020",21898.4707,22327.57031,21472.33984,21612.61914,354169567,DJI,
"Thursday, March 26, 2020",21619.48047,22595.06055,21490.67969,22535.64062,403068931,DJI,
"Wednesday, March 25, 2020",20860.40039,22019.92969,20538.33984,21196.33984,454357332,DJI,
"Tuesday, March 24, 2020",19722.18945,20737.69922,19649.25,20697.49023,478596192,DJI,
"Monday, March 23, 2020",18857.55078,19121.00977,18215.64062,18575.59961,467935905,DJI,
"Friday, March 20, 2020",20253.15039,20530.53906,19094.26953,19160.09961,466326325,DJI,
"Thursday, March 19, 2020",19776.34961,20442.63086,19177.13086,20101.64062,333527987,DJI,
"Wednesday, March 18, 2020",19964.66016,20489.33008,18917.46094,19954.66992,264527250,DJI,
"Tuesday, March 17, 2020",20532.18945,21379.34961,19882.25977,21232.99023,272066757,DJI,
"Monday, March 16, 2020",20917.5293,21768.2793,20116.46094,20187.05078,264737665,DJI,
"Thursday, March 12, 2020",22184.71094,22184.71094,21297.88086,21424.64062,357535782,DJI,760.07032
"Wednesday, March 11, 2020",24493.05078,24493.05078,23331.41992,23552.65039,403062763,DJI,940.40039
"Tuesday, March 10, 2020",24453,25019.15039,23690.33984,25016.67969,411415040,DJI,
"Monday, March 9, 2020",24992.35938,24992.35938,23706.07031,23843.89062,475233188,DJI,
"Friday, March 6, 2020",25457.21094,25994.38086,25226.61914,25863.81055,353443860,DJI,
"Thursday, March 5, 2020",26671.91992,26671.91992,25943.33008,26126.15039,273426975,DJI,
"Wednesday, March 4, 2020",26495.0293,27102.33984,26286.31055,27087.66992,285109565,DJI,
"Tuesday, March 3, 2020",26758.18945,27084.58984,25706.2793,25905.74023,446745139,DJI,
"Monday, March 2, 2020",25590.50977,26706.16992,25391.96094,26703.32031,637200000,DJI,
"Friday, February 28, 2020",25270.83008,25494.24023,24681.00977,25409.35938,915990000,DJI,
"Thursday, February 27, 2020",26526,26775.31055,25752.82031,25766.64062,664980000,DJI,
"Wednesday, February 26, 2020",27159.46094,27542.7793,26890.9707,26957.58984,472450000,DJI,
"Tuesday, February 25, 2020",28037.65039,28149.19922,26997.61914,27081.35938,513270000,DJI,
"Monday, February 24, 2020",28402.92969,28402.92969,27912.43945,27960.80078,452580000,DJI,
"Friday, February 21, 2020",29146.5293,29146.5293,28892.69922,28992.41016,311210000,DJI,
"Thursday, February 20, 2020",29296.25,29368.44922,28959.65039,29219.98047,287780000,DJI,
"Wednesday, February 19, 2020",29312.69922,29409.08984,29274.38086,29348.0293,240640000,DJI,
"Tuesday, February 18, 2020",29282.7793,29330.16016,29116.81055,29232.18945,256600000,DJI,
"Friday, February 14, 2020",29440.4707,29463.03906,29283.17969,29398.08008,231000000,DJI,
"Thursday, February 13, 2020",29436.0293,29535.40039,29345.92969,29423.31055,291150000,DJI,
"Wednesday, February 12, 2020",29406.75,29568.57031,29406.75,29551.41992,309530000,DJI,
"Tuesday, February 11, 2020",29390.71094,29415.39062,29210.4707,29276.33984,279540000,DJI,
"Monday, February 10, 2020",28995.66016,29278.07031,28995.66016,29276.82031,250510000,DJI,
"Friday, February 7, 2020",29286.91992,29286.91992,29056.98047,29102.50977,252860000,DJI,
"Thursday, February 6, 2020",29388.58008,29408.05078,29246.92969,29379.76953,263700000,DJI,
"Wednesday, February 5, 2020",29048.73047,29308.89062,29000.84961,29290.84961,357540000,DJI,
"Tuesday, February 4, 2020",28696.74023,28904.88086,28696.74023,28807.63086,332750000,DJI,
"Monday, February 3, 2020",28319.65039,28630.39062,28319.65039,28399.81055,307910000,DJI,
"Friday, January 31, 2020",28813.03906,28813.03906,28169.5293,28256.0293,403890000,DJI,
"Thursday, January 30, 2020",28640.16016,28879.71094,28489.75977,28859.43945,326850000,DJI,
"Wednesday, January 29, 2020",28820.5293,28944.24023,28728.18945,28734.44922,302290000,DJI,
"Tuesday, January 28, 2020",28594.2793,28823.23047,28575.75,28722.84961,330140000,DJI,
"Monday, January 27, 2020",28542.49023,28671.78906,28440.4707,28535.80078,337270000,DJI,
"Friday, January 24, 2020",29230.39062,29288.78906,28843.31055,28989.73047,380010000,DJI,
"Thursday, January 23, 2020",29111.01953,29190.4707,28966.98047,29160.08984,307060000,DJI,
"Wednesday, January 22, 2020",29263.63086,29320.19922,29172.25977,29186.26953,283440000,DJI,
"Tuesday, January 21, 2020",29269.05078,29341.21094,29146.4707,29196.03906,320640000,DJI,
"Friday, January 17, 2020",29313.31055,29373.61914,29289.91016,29348.09961,321820000,DJI,
