datetime,open,high,low,close,volume,name
2020-04-03,50.01000,51.00000,47.65000,48.25000,,VIX
2020-04-02,55.38000,56.91000,50.77000,50.83000,,VIX
2020-04-01,56.56000,58.64000,52.93000,56.45000,,VIX
2020-03-31,56.38000,56.38000,50.91000,53.39000,,VIX
2020-03-30,63.22000,64.25000,56.60000,56.86000,,VIX
2020-03-27,67.60000,67.67000,61.80000,65.16000,,VIX
2020-03-26,58.91000,62.46000,58.09000,60.88000,,VIX
2020-03-25,60.62000,65.94000,60.45000,65.25000,,VIX
2020-03-24,53.85000,61.47000,52.17000,60.24000,,VIX
2020-03-23,70.79000,71.25000,60.46000,60.80000,,VIX
2020-03-20,68.33000,68.95000,57.61000,66.92000,,VIX
2020-03-19,78.88000,84.19000,68.74000,71.28000,,VIX
2020-03-18,69.37000,85.47000,69.37000,75.99000,,VIX
2020-03-17,80.90000,84.37000,70.37000,74.85000,,VIX
2020-03-16,57.83000,83.30000,57.83000,83.05000,,VIX
2020-03-12,61.59000,69.26000,61.59000,67.44000,,VIX
2020-03-11,52.41000,55.82000,49.98000,54.06000,,VIX
2020-03-10,48.12000,55.66000,46.58000,46.84000,,VIX
2020-03-09,41.94000,62.12000,41.94000,55.07000,,VIX
2020-03-06,47.87000,54.39000,40.84000,41.80000,,VIX
2020-03-05,36.75000,42.84000,34.42000,39.35000,,VIX
2020-03-04,32.50000,35.58000,30.30000,31.32000,,VIX
2020-03-03,33.36000,41.06000,24.93000,38.07000,,VIX
2020-03-02,37.33000,40.41000,31.63000,31.71000,,VIX
2020-02-28,42.02000,49.48000,39.37000,40.11000,,VIX
2020-02-27,32.14000,39.31000,29.37000,39.16000,,VIX
2020-02-26,26.63000,29.57000,24.76000,27.56000,,VIX
2020-02-25,23.28000,30.25000,22.62000,27.85000,,VIX
2020-02-24,22.25000,26.35000,22.00000,25.03000,,VIX
2020-02-21,17.33000,18.21000,16.19000,17.08000,,VIX
2020-02-20,14.54000,17.21000,14.49000,15.56000,,VIX
2020-02-19,14.66000,14.74000,14.21000,14.38000,,VIX
2020-02-18,14.98000,15.49000,14.53000,14.83000,,VIX
2020-02-14,14.12000,14.54000,13.38000,13.68000,,VIX
2020-02-13,14.43000,15.44000,14.00000,14.15000,,VIX
2020-02-12,14.86000,14.88000,13.73000,13.74000,,VIX
2020-02-11,14.91000,15.27000,14.38000,15.18000,,VIX
2020-02-10,15.88000,16.43000,15.01000,15.04000,,VIX
2020-02-07,15.07000,16.16000,14.81000,15.47000,,VIX
2020-02-06,15.13000,15.66000,14.70000,14.96000,,VIX
2020-02-05,16.29000,16.32000,15.02000,15.15000,,VIX
2020-02-04,16.45000,16.46000,15.63000,16.05000,,VIX
2020-02-03,18.64000,18.88000,17.10000,17.97000,,VIX
2020-01-31,16.25000,19.99000,16.18000,18.84000,,VIX
2020-01-30,17.82000,18.39000,15.30000,15.49000,,VIX
2020-01-29,15.68000,16.65000,14.94000,16.39000,,VIX
2020-01-28,16.94000,18.03000,15.69000,16.28000,,VIX
2020-01-27,17.42000,19.02000,16.82000,18.23000,,VIX
2020-01-24,12.75000,15.98000,12.62000,14.56000,,VIX
2020-01-23,13.26000,14.15000,12.94000,12.98000,,VIX
2020-01-22,12.45000,13.01000,12.31000,12.91000,,VIX
2020-01-21,13.23000,13.33000,12.32000,12.85000,,VIX
2020-01-17,12.21000,12.48000,11.75000,12.10000,,VIX
2020-01-16,12.20000,12.42000,11.78000,12.32000,,VIX
2020-01-15,12.79000,12.83000,11.95000,12.42000,,VIX
2020-01-14,12.72000,13.82000,12.05000,12.39000,,VIX
2020-01-13,12.84000,13.09000,12.32000,12.32000,,VIX
2020-01-10,12.42000,12.87000,12.09000,12.56000,,VIX
2020-01-09,12.95000,13.24000,12.53000,12.54000,,VIX
2020-01-08,15.16000,15.24000,12.83000,13.45000,,VIX
2020-01-07,13.84000,14.46000,13.39000,13.79000,,VIX
2020-01-06,15.45000,16.39000,13.54000,13.85000,,VIX
2020-01-03,15.01000,16.20000,13.13000,14.02000,,VIX
2020-01-02,13.46000,13.72000,12.42000,12.47000,,VIX
